platform,source_file,product_id,search_keyword,model,title,price,rejection_reason,detail_status,product_url,description
elecmart,pulio_massage_products.csv,408467618,풀리오 마사지기,제품군 공통,풀리오 v3 박스 없음,86000,액세서리/소모품 단품,200,https://m.bunjang.co.kr/products/408467618,박스 없고 전용 충전기만 있어요 그거빼곤 작동잘 되고 새거입니당 마지막 가격내림
elecmart,dyson_vacuum_products.csv,371282088,다이슨 청소기,제품군 공통,다이슨 청소기(거의 새거),640000,가격 이상치-복수상품,200,https://m.bunjang.co.kr/products/371282088,"다이슨 청소기 풀세트 거의 새것과 동일합니다. 스탠드 거치대에 세워두고 사용해서 기스도 거의 없어요. 흡입력 좋고, 꼼꼼하게 청소 잘됩니다. 별도 문의 없으시면 바로 안전결제 부탁드려요! 구입은 1년정도 되었구요. 메인 청소브러쉬만 5회정도 사용했습니다 발판 비밀도 안 벗겼구요. 나머지 청소도구 사진보시면 새겁니다. 로봇청소기가 있어서 잘 사용안했어요 1년전 구입가격은 90만원대 얐습니다 박스를 구해야하니 갖가가심이 좋을 듯합니다 서울, 구리지역 거래가능요"
elecmart,medicube_booster_pro_products.csv,413906132,메디큐브 부스터 프로,BOOSTER_PRO_MINI,메디큐브 부스터프로 + 부스터프로미니플러스 일괄,300000,가격 이상치-복수상품,200,https://m.bunjang.co.kr/products/413906132,메디큐브 부스터프로와 부스터프로 미니 플러스 두 가지 기기 일괄 판매합니다. 상태 좋고 작동 잘 됩니다. 구매 원하시면 바로 안전결제 해주시면 됩니다! 저는 귀차니즘이 너무 심해서 방치만 하게 되더라구여.. 두개 다 싸게 가져가세욤
elecmart,medicube_booster_pro_products.csv,394793813,메디큐브 부스터 프로,BOOSTER_PRO,메디큐브 하이포커스 샷 플러스 핑크 + 메디큐브 부스터프로 핑크 + 부스,535000,가격 이상치-복수상품,200,https://m.bunjang.co.kr/products/394793813,메디큐브 에이지알 하이포커스 샷 플러스 핑크색은 팔에만 시험해본 새상품이며 부스터 젤 새상품 같이 드립니다 ! 메디큐브 부스터 프로 핑크색은 10회 미만 사용하였고 콜라겐 젤리 세럼이 함께 드립니다 ! 일괄 50으로 싸게 드려욥 ! 메디큐브에서 두 기기 같이 사도 75만원입니다 ! 완전 싸게 내놓아요
elecmart,medicube_booster_pro_products.csv,376586295,메디큐브 부스터 프로,BOOSTER_PRO,메디큐브 부스터프로 선물세트,930000,가격 이상치-복수상품,200,https://m.bunjang.co.kr/products/376586295,미개봉 메디큐브 부스터프로 선물세트입니다. 고급스러운 블랙 패키지로 선물용으로도 좋아요. 묵직한 본체에서 느껴지는 고급스러움이 남다릅니다. 별도 문의 없으시면 바로 안전결제 부탁드려요!
elecmart,pulio_massage_products.csv,411939387,풀리오 마사지기,NECK_SHOULDER,급처)풀리오 마사지매트+손마사지기+목 어깨 마사지기,180000,가격 이상치-복수상품,200,https://m.bunjang.co.kr/products/411939387,"풀리오 마사지매트 +손 마사지기+목 어깨 마사지기 입니다. 세 개 다 박스는 없으며, 개별 판매, 일괄 판매 다 하고 있습니다. 손 마사지기와 목 어깨 마사지기는 본품만 있습니다. ‼️이번주 금요일(6/5)까지 일괄 쿨거 시 18만원에 판매합니다!‼️ ❗️마사지매트 - 180,000원 ❗️손 마사지기 - 60,000원 ❗️목 어깨 마사지기 - 50,000원 ❗️일괄 - 290,000원 ※신중한 구매 부탁드리며, 구매의사 없는 찜은 누르지 말아주세요."
elecmart,pulio_massage_products.csv,412570241,풀리오 마사지기,CALF,풀리오 다리전체마사지기,140000,가격 이상치-복수상품,200,https://m.bunjang.co.kr/products/412570241,한두번 사용했고 사용감 적습니다 구성품 안내서 인증서 충전기 2개 다리마사지기 한세트 박스빼고 다 있습니다~ 포장 꼼꼼히해서 드릴게요 편하게 연락주세요😊
joonggonara,brezza_formula_products.csv,231814672,브레짜 분유,FORMULA_PRO,브라비 분유제조기 분유 유아 신생아 출산 육아 브레짜,49000,검색어 오탐/타제품,not_requested,https://web.joongna.com/product/231814672,
joonggonara,brezza_formula_products.csv,230733741,브레짜 분유,BRZFRP-1A,베이비 브레짜 자동 분유제조기 출수형 분유포트 BRZFRP-1A,210000,검색어 오탐/타제품,not_requested,https://web.joongna.com/product/230733741,
joonggonara,brezza_formula_products.csv,230041335,브레짜 분유,FORMULA_PRO,브레짜 젖병세척기 + 분유제조기 세트,400000,검색어 오탐/타제품,not_requested,https://web.joongna.com/product/230041335,
joonggonara,brezza_formula_products.csv,228370520,브레짜 분유,FORMULA_PRO,브레짜 젖병세척기 + 분유제조기 세트 +꿈비분유쉐이커,400000,검색어 오탐/타제품,not_requested,https://web.joongna.com/product/228370520,
joonggonara,brezza_formula_products.csv,228123614,브레짜 분유,FORMULA_PRO,베이비 브레짜 올인원 젖병세척기 블랙 + 분유제조기 블랙 미개봉 팝니다,350000,검색어 오탐/타제품,not_requested,https://web.joongna.com/product/228123614,
joonggonara,brezza_formula_products.csv,227885233,브레짜 분유,FORMULA_PRO,[미개봉]베이비 브레짜 분유제조기 출수형 분유포트 화이트,240000,검색어 오탐/타제품,not_requested,https://web.joongna.com/product/227885233,
joonggonara,brezza_formula_products.csv,226750551,브레짜 분유,제품군 공통,브레짜 분유포트,20000,검색어 오탐/타제품,404,https://web.joongna.com/product/226750551,
joonggonara,brezza_formula_products.csv,223996863,브레짜 분유,FORMULA_PRO_ADVANCED,베이비 브레짜 포뮬라 프로 어드벤스드 분유포트신형 미개봉,200000,검색어 오탐/타제품,not_requested,https://web.joongna.com/product/223996863,
joonggonara,brezza_formula_products.csv,223941215,브레짜 분유,FORMULA_PRO_ADVANCED,미개봉새상품 베이비브레짜 포뮬러 프로 어드밴스드 화이트 분유제조기,123456,가격 무효/자리표시,200,https://web.joongna.com/product/223941215,* 베이비브레짜 포뮬러 프로 어드밴스 화이트 새제품. * 26년 1월 8일 선물받음. * 미개봉 새상품이니 구매 바로 바실분만 연락주세요. 택배는 택배사 직접 접수하셔도 되고 없으시면 cj택배 접수합니다.
joonggonara,brezza_formula_products.csv,222119721,브레짜 분유,FORMULA_PRO,버들맘마 스마트 분유제조기(브레짜 상위버전),250000,검색어 오탐/타제품,not_requested,https://web.joongna.com/product/222119721,
joonggonara,brezza_formula_products.csv,222999817,브레짜 분유,FORMULA_PRO,"베이비브레짜 분유제조기, 젖병세척기",420000,검색어 오탐/타제품,not_requested,https://web.joongna.com/product/222999817,
joonggonara,brezza_formula_products.csv,222163652,브레짜 분유,FORMULA_PRO,새제품/풀구성)베이비브레짜 분유제조기 + 젖병세척기,500000,검색어 오탐/타제품,not_requested,https://web.joongna.com/product/222163652,
joonggonara,cuckoo_rice_cooker_products.csv,231169887,쿠쿠 밥솥,BHXB0660FB,쿠쿠 IH 압력밥솥 BHXB0660FB,0,가격 무효/자리표시,200,https://web.joongna.com/product/231169887,쿠쿠 IH 압력밥솥 BHXB0660FB 년식이 좀있지만 안은깨끗한편이고 거이 햇반또는 직작에서 먹구있어서 판매합니다
joonggonara,cuckoo_rice_cooker_products.csv,228407409,쿠쿠 밥솥,전기압력밥솥_6인용,쿠쿠 SMART IH 6인용 압력밥솥 ENERGY SAVER 부품용 (2만원),20000,부품/고장품,not_requested,https://web.joongna.com/product/228407409,
joonggonara,cuckoo_rice_cooker_products.csv,228407409,쿠쿠 밥솥,전기압력밥솥_6인용,쿠쿠 SMART IH 6인용 압력밥솥 ENERGY SAVER 부품용 (2만원),20000,부품/고장품,not_requested,https://web.joongna.com/product/228407409,
joonggonara,cuckoo_rice_cooker_products.csv,230986780,쿠쿠 밥솥,트윈프레셔_6인용,쿠쿠 트윈프레셔 6인용 밥솥 | 전기밥솥,123456,가격 무효/자리표시,200,https://web.joongna.com/product/230986780,판매완료판매완료판매완료판매완료
joonggonara,cuckoo_rice_cooker_products.csv,229590451,쿠쿠 밥솥,JHR0660FD,고장난 쿠쿠 6인용 압력밥솥 JHR0660FD(부품용),12000,부품/고장품,not_requested,https://web.joongna.com/product/229590451,
joonggonara,cuckoo_rice_cooker_products.csv,229194791,쿠쿠 밥솥,제품군 공통,"에어프라이어, 쿠쿠 밥솥, 타코야키 팬, 미니오븐",99999,검색어 오탐/타제품,200,https://web.joongna.com/product/229194791,"모두 기능에 이상 없어요. 가격 제안 받아요. 에어프라이어 용량 5 리터 정도 되고 미니 오븐은 쿠키 굽는 용으로 가로 30센티 정도 이고 모두 사용 가능해요. 에어 프라이어 만원, 미니 오븐 나눔 가능, 밥솥은 2만원 생각중입니다."
joonggonara,cuckoo_rice_cooker_products.csv,228258432,쿠쿠 밥솥,제품군 공통,치치쿠쿠 업소용 전기솥밥 15인분 23년식 렌탈X,1500000,거래 목적 불일치,200,https://web.joongna.com/product/228258432,"치치쿠쿠 업소용 전기솥밥 15인분 23년식 렌탈X 년식: 23년식 색상: 블랙 특징: 렌탈X 배선 작업된 선반 이라서 설치시 전기 작업만 하시면 쉽게 사용 가능 합니다 (설치비 별도발생) 나무 받침대 제공 인터넷 최저가 220만원 직거래 경기도 남양주시 금곡동 배송비 지역에따라 발생할수 있습니다. (2층 혹은 특수한 경우 미리 말씀부탁드립니다. ^^ ) 문의주세요😄 언제든지 가격,배송비 문의주세요"
joonggonara,cuckoo_rice_cooker_products.csv,228048834,쿠쿠 밥솥,CRP-AHXB1060FD,쿠쿠 스마트 IH 10인용 압력밥솥 (CRP-AHXB1060FD) 부품용쿠쿠 스마트 IH 10인용 압력밥솥 판매합니,30000,부품/고장품,not_requested,https://web.joongna.com/product/228048834,
joonggonara,cuckoo_rice_cooker_products.csv,224399739,쿠쿠 밥솥,전기압력밥솥_10인용,쿠쿠 10인용 압력밥솥 깐바스님산거 재판매 부품용,10000,부품/고장품,not_requested,https://web.joongna.com/product/224399739,
joonggonara,cuckoo_rice_cooker_products.csv,227711070,쿠쿠 밥솥,전기압력밥솥_6인용,(완료)쿠쿠 압력밥솥 6인용,12345,가격 무효/자리표시,200,https://web.joongna.com/product/227711070,판매되었습니다 감사합니다 잘쓰세요
joonggonara,cuckoo_rice_cooker_products.csv,227403446,쿠쿠 밥솥,CRP-R069FGW,6인용 쿠쿠밥솥 팝니다,150000,불완전상품,200,https://web.joongna.com/product/227403446,"기종은 CRP-R069FGW입니다. 사실 예전에 요리하려고 샀는데 먼지만 쌓여서 팝니다...ㅋㅋ 쿠쿠몰에서 263,000원 정가, 할인가는 223,500원에 팔고 있으니 15에 팔겠습니다. 박스는 없고 본체만 있습니다."
joonggonara,cuckoo_rice_cooker_products.csv,226449035,쿠쿠 밥솥,CRP-QS10,쿠쿠 10인용 압력밥솥 (CRP-QS10) 부품용으로 팝니다23년 8월 제조된 거의 신품급 쿠쿠 압력밥솥입니다.작동,40000,부품/고장품,not_requested,https://web.joongna.com/product/226449035,
joonggonara,cuckoo_rice_cooker_products.csv,225162851,쿠쿠 밥솥,CRP-R069FP,쿠쿠 6인용 밥솥 내솥+고장난 밥솥 CRP-R069FP,10000,부품/고장품,not_requested,https://web.joongna.com/product/225162851,
joonggonara,cuckoo_rice_cooker_products.csv,224679205,쿠쿠 밥솥,제품군 공통,"[사기범공유-계좌변경] eee 송파다이노스 상품 결제하지 마세요(콧물흡입, 러닝스마트워치, 쿠쿠 밥솥)샥즈 오버핏",1000,가격 무효/자리표시,200,https://web.joongna.com/product/224679205,"아이디 계속 바꾸며 이런 저런 상품 계속 올립니다. 특징은 글을 직접 타이핑하지 않고 회색 이미지에 타이핑된 걸 올려요. 그 안에 번호 010 3261 8974,또는 카톡 아이디 ba3999 라는 정보가 들어있습니다. (더치트에 올라온거보니 sh로 시작하는 카톡 아이디도 있는듯) 일단 모든 카톡 프로필에 애기 사진, 애기 있는 가족적인 사진(다 전문가가 찍은 사진)걸려있습니다. 신고로 계좌가 막히니 새로운 계좌 뚫었네요 너네 잡힌다고 했잖아. 이걸 머리라고 쓴거야?ㅉㅉㅉ (기존) 입금은행 : 카카오뱅크 예금주 : 김영원(주)NAVER 계좌번호 : 3333-082-551-288 (변경) 입금은행 : 카카오뱅크 예금주 : 황유빈 계좌번호 : 3333-30-6227727 수법은 메시지 보내면 안전결제라며 외부 링크 따로 보내주고 카뱅으로 입금하게 합니다. 안전결제라며 http://pay.cafe.naver1.jonggo80.com/ 이런 이상한 주소줍니다. 보시면 네이버 뒤에 1이 붙어 있죠? 카뱅이나 토스 어플로는 하지 말라고 합니다. 입금 후 수수료를 안보냈다며 금액이 맞지 않아 환불이 안되니 다시 입금해주면 처음건 자동 환불된다 하고 그 다음은 다른 사유를 대며 또 추가 입금을 요구합니다. 중고나라 피해사려 검색에서는 아직 안걸러질 수 있으니 꼭 ‘더치트’에서 계좌번호 검색하세요. 중고나라 이상거래 신고해도 빨리 처리는 안되는듯해 올립니다.하루에 1-2건씩 피해가 올라오는것 같네요. 피해입으시면 저처럼 꼭 사이버범죄 신고시스템이나 경찰서에 먼저 신고부터 하시고 이후 고소나 민사 진행하시면 됩니다. 현재 다른 피해자분들과 함께 공유하며 수사 진행 중입니다. 아! 중고나라 말고도 네이버 블로그나 카카오를 통해서도 사기친다고 신고 올라왔으니 꼭 잘 살피십시오. 너 아이디 바뀔때마다 신고하고 글 올릴거다. 나 3월까지 휴가라고 했다. 돈 찾는것 보다 니 얼굴 보는게 목적이다. P.s 너네 잡힌다고 했잖아. 이걸 머리라고 쓴거야?ㅉㅉㅉ법도 모르면서 그렇게 아는 법용어 막 쓰면 사람들이 무서워하디? 나 겁네 웃었네. 니들이 사람들한테 보낸 그 법으로 협박한 톡 내용ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ 맞는게 하나도 없어ㅋ꙼̈ㅋ꙼̈ 무식하면 다물자. 니들이한게 협박이야ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ 26년에 제일 웃겼다ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ 댓글 참고 https://cafe.naver.com/joonggonara/1124297961"
joonggonara,cuckoo_rice_cooker_products.csv,224665339,쿠쿠 밥솥,제품군 공통,"[사기범 주의] 계좌공개-판매자,구매자로도 접근(콧물 흡입기, 러닝스마트워치, 쿠쿠 밥솥, 샥즈 오버핏 2+, 버",1000,가격 무효/자리표시,200,https://web.joongna.com/product/224665339,"[사기범 주의] 계좌공개-판매자, 구매자로도 접근(신지훈, 엠씨더맥스 이수, 윤도현, 미스터 트롯3) 아이디 계속 바꾸며 이런 저런 상품 계속 올립니다. 판매자로 접근 시, 안전결제라며 http://pay.cafe.naver1.jonggo80.com/ 이런 이상한 주소줍니다. 보시면 네이버 뒤에 1이 붙어 있죠? 수수료를 핑계로 재입금 요구하고 다른 핑계로 또 재입금 요구합니다. 절대 접근하지 마세요. 구매자로 접근 시, 자사이 포인트가 있는 사이트에 올려주면 포인트 이용하고 싶다며 사이트 보내주며 올려달라 합니다. 그러면서 여러 이유로 판매자때문에 내통장이 지급 금지됐다며 협박하고 돈 뜯어냅니다. 딱 봐도 사기죠? 카카오채널에서 ‘보아르 서비스’라는 이름으로 AS제품 무상 교환해준다고 하기 피싱사이트로 연결해서 먼저 입금을 하면 제품회수후 환불해준다고합니다. 피싱사이트 : 명성물류(http://audtjakoreabest.) 운영진이 일을 안하니 저라도 꾸준히 올려볼랍니다. 피해자가 공동 대응하고 정보공유하고 있습니다. 혹시 아래 계좌로 피해보신 분들 꼭 ‘더치트’와 ‘사이버 범조 신고센터’ 또는 ‘경찰서’에 신고하세요. 저희와 공유하시고 싶으시면 더치트 통해 아무에게나 메시지 주시면 됩니다. 신고로 계좌가 막히니 새로운 계좌 뚫었네요 너네 잡힌다고 했잖아. 이걸 머리라고 쓴거야?ㅉㅉㅉ (기존) 입금은행 : 카카오뱅크 예금주 : 김영원(주)NAVER 계좌번호 : 3333-082-551-288 (변경) 입금은행 : 카카오뱅크 예금주 : 황유빈 계좌번호 : 3333-30-6227727 P.s 너네 잡힌다고 했잖아. 이걸 머리라고 쓴거야?ㅉㅉㅉ법도 모르면서 그렇게 아는 법용어 막 쓰면 사람들이 무서워하디? 나 겁네 웃었네. 니들이 사람들한테 보낸 그 법으로 협박한 톡 내용ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ 맞는게 하나도 없어ㅋ꙼̈ㅋ꙼̈ 무식하면 다물자. 니들이한게 협박이야ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ 26년에 제일 웃겼다ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈ㅋ꙼̈"
joonggonara,cuckoo_rice_cooker_products.csv,224344087,쿠쿠 밥솥,CRP-JHR1010FC,CRP-JHR1010FC 쿠쿠밥솥 내솥(고장난 본체도있어요),50000,부품/고장품,not_requested,https://web.joongna.com/product/224344087,
joonggonara,cuckoo_rice_cooker_products.csv,219719823,쿠쿠 밥솥,제품군 공통,치치쿠쿠 업소용 인덕션 솥밥기계 20구 세트｜직거래/화물 가능,2800000,거래 목적 불일치,200,https://web.joongna.com/product/219719823,"치치쿠쿠 업소용 인덕션 솥밥기계 20구 세트｜직거래/화물 가능 합리적 가격·검증된 품질의 업소용 인덕션 솥밥기계 20구 판매합니다. ■ 판매가격 상기 견적은 부가세별도 가격입니다. ■ 제품 개요 모델: 인덕션 솥밥기계 20구 세트 상태: 시운전급/양호 구성: 본체(20구), [솥/뚜껑/압력뚜껑/선반 포함] 사용 용도: 한식당/솥밥 전문점/단체 급식/프랜차이즈 등 ■ 구성품 전체 포함 - 선반 5열 4단 1대 - 인덕션 20개 - 1인 압력뚜껑 20개 - 1인 스테인리스 솥 20개 - 솥 받침대 20개 - 솥 뚜껑 20개 ■ 전기/설치 안내 전원: 3상 전원(현장 전압 확인 필수) / 단상 220V 불가 권장 차단기/케이블(참고): 15~20구 → 차단기 50A, 케이블 10sq 권장 설치: 메인 분전반 여유 차단기 확인 → 없을 경우 보조 분전함 추가 후 연결 권장 필요 시, 설치/전기 기사 기본 상담 도와드립니다. ■ 특징 인덕션 방식으로 빠른 가열과 안정적인 화력 유지 조리 시 온도 조절이 정밀하고 에너지 절감 효과 튼튼하고 깔끔한 디자인, 매장 분위기까지 살림 낱개 부품 교체 가능, 관리와 유지보수 편리 제조사 보증 가능 (조건 협의) ■ 거래 안내 위치: 김포 거래: 직거래(수도권 환영) / 화물·택배 가능(포장 안전하게 진행) 가격: 부가세 별도 문의: 채팅 우선 / 안심번호 공 5 공 6 7 1 8 2 3 1 7 ■ 추가 서비스(선택) 간단 사용 가이드 제공 렌탈/리스 상담 가능(원하실 경우 조건 안내) 📷 실제 제품 사진과 상세페이지 이미지는 첨부 파일 참고 부탁드립니다."
joonggonara,cuckoo_rice_cooker_products.csv,219975229,쿠쿠 밥솥,제품군 공통,치치쿠쿠 업소용 인덕션 솥밥기계 9구 세트｜전시품 미사용 새제품｜직거래/화물 가능,1530000,거래 목적 불일치,200,https://web.joongna.com/product/219975229,"치치쿠쿠 업소용 인덕션 솥밥기계 9구 세트｜직거래/화물 가능 합리적 가격·검증된 품질의 업소용 인덕션 솥밥기계 9구 판매합니다. ■ 판매가격 상기 견적은 부가세별도 가격입니다. ■ 제품 개요 모델: 인덕션 솥밥기계 9구 세트 상태: 시운전급/양호 구성: 본체(9구), [솥/뚜껑/압력뚜껑/선반 포함] 사용 용도: 한식당/솥밥 전문점/단체 급식/프랜차이즈 등 ■ 구성품 전체 포함 - 선반 3열 4단 1대 - 인덕션 9개 - 1인 압력뚜껑 9개 - 1인 스테인리스 솥 9개 - 나무 받침대 9개 - 스테인리스 뚜껑 9개 ■ 전기/설치 안내 전원: 3상 전원(현장 전압 확인 필수) / 단상 220V 불가 권장 차단기/케이블(참고): 12~8구 → 차단기 40A, 케이블 6sq 권장 설치: 메인 분전반 여유 차단기 확인 → 없을 경우 보조 분전함 추가 후 연결 권장 필요 시, 설치/전기 기사 기본 상담 도와드립니다. ■ 특징 인덕션 방식으로 빠른 가열과 안정적인 화력 유지 조리 시 온도 조절이 정밀하고 에너지 절감 효과 튼튼하고 깔끔한 디자인, 매장 분위기까지 살림 낱개 부품 교체 가능, 관리와 유지보수 편리 제조사 보증 가능 (조건 협의) ■ 거래 안내 위치: 김포 거래: 직거래(수도권 환영) / 화물·택배 가능(포장 안전하게 진행) 가격: 부가세 별도 문의: 채팅 우선 / 안심번호 공 5 공 6 7 1 8 2 3 1 7 ■ 추가 서비스(선택) 간단 사용 가이드 제공 렌탈/리스 상담 가능(원하실 경우 조건 안내) 📷 실제 제품 사진과 상세페이지 이미지는 첨부 파일 참고 부탁드립니다."
